id,nome,descricao,tipo,imagens,nivel,repositorio,destaque
05df5a39-f564-41d0-961c-29b51461c93d,Kino,"Kino é uma aplicação para exibir filmes e autores favoritos. Permite explorar detalhes dos filmes e informações sobre diretores e autores de forma intuitiva.","web","[""https://github.com/portfolio-projetos-dev/kino/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/kino/raw/main/.gitassets/2.jpg"",""https://github.com/portfolio-projetos-dev/kino/raw/main/.gitassets/3.jpg"",""https://github.com/portfolio-projetos-dev/kino/raw/main/.gitassets/4.jpg""]",2,https://github.com/portfolio-projetos-dev/kino,false
11aaaf1f-033f-4799-a04f-83238d376b13,Poupig,"Poupig é uma aplicação fullstack para gerenciamento de dados financeiros, desenvolvida com Next.js no frontend, NestJS no backend, Prisma para ORM e PostgreSQL como banco de dados.","web","[""https://github.com/portfolio-projetos-dev/poupig/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/poupig/raw/main/.gitassets/2.jpg""]",4,https://github.com/portfolio-projetos-dev/poupig,true
ec8bfa81-3285-455e-ae4d-4f232fd71287,Convit3 Digital,"O Convit3 Digital é uma plataforma desenvolvida para facilitar a gestão e envio de convites digitais. Ele permite a criação, personalização e distribuição de convites para eventos de forma rápida e eficiente.","mobile","[""https://github.com/portfolio-projetos-dev/convit3-digital/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/convit3-digital/raw/main/.gitassets/2.jpg"",""https://github.com/portfolio-projetos-dev/convit3-digital/raw/main/.gitassets/3.jpg"",""https://github.com/portfolio-projetos-dev/convit3-digital/raw/main/.gitassets/4.jpg""]",3,https://github.com/portfolio-projetos-dev/convit3-digital,false
74ee9bb1-71ba-4cb8-96d9-2fcb74a51571,Gam3r Store,"Gam3r Store é um e-commerce de tecnologia que oferece uma ampla variedade de produtos, desde gadgets e acessórios até equipamentos de alta performance para gamers. Ideal para quem busca inovação e qualidade.","mobile","[""https://github.com/portfolio-projetos-dev/gam3r-store/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/gam3r-store/raw/main/.gitassets/2.jpg"",""https://github.com/portfolio-projetos-dev/gam3r-store/raw/main/.gitassets/3.jpg"",""https://github.com/portfolio-projetos-dev/gam3r-store/raw/main/.gitassets/4.jpg""]",3,https://github.com/portfolio-projetos-dev/gam3r-store,true
0cd34184-3b68-46ce-97d1-bdc7f5d75ade,Barba Brutal,"Aplicação para agendamento e gerenciamento de horários em uma barbearia. Desenvolvido com NestJS no backend e Next.js com TypeScript no frontend.","mobile","[""https://github.com/portfolio-projetos-dev/barba-brutal/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/barba-brutal/raw/main/.gitassets/2.jpg""]",3,https://github.com/portfolio-projetos-dev/barba-brutal,true
6d042940-afd4-42e2-94c8-9f6f8aae1c9d,Ordem Livros,"Ordem Livros é uma aplicação que exibe autores, livros e outros dados literários. Desenvolvida utilizando HTML, CSS, Svelte e JavaScript, permite a exploração de listas de livros, biografias dos autores e resenhas.","web","[""https://github.com/portfolio-projetos-dev/ordem-livros/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/ordem-livros/raw/main/.gitassets/2.jpg""]",2,https://github.com/portfolio-projetos-dev/ordem-livros,false
8887fa4b-4226-4ef1-9a86-68fe914dec29,Monty Hall,"Monty Hall é uma aplicação que simula o problema de Monty Hall, um quebra-cabeça matemático que ficou famoso por ser um problema de probabilidade. Desenvolvido com React.","jogo","[""https://github.com/portfolio-projetos-dev/monty-hall/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/monty-hall/raw/main/.gitassets/2.jpg""]",2,https://github.com/portfolio-projetos-dev/monty-hall,false
67b281f2-457e-4d82-9a17-1db1d22cfc00,Matador de Monstros,"Matador de Monstros é um jogo simples desenvolvido com Vue.js. O objetivo é matar monstros e ganhar pontos. O jogo possui um sistema de pontuação e um sistema de cura para o jogador.","jogo","[""https://github.com/portfolio-projetos-dev/matador-monstros/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/matador-monstros/raw/main/.gitassets/2.jpg"",""https://github.com/portfolio-projetos-dev/matador-monstros/raw/main/.gitassets/3.jpg""]",2,https://github.com/portfolio-projetos-dev/matador-monstros,false
166c7b72-5c35-431d-ba60-20f3638561e3,Flappy Bird,"Flappy Bird é um jogo simples desenvolvido com HTML, CSS e JavaScript. O objetivo é fazer o pássaro passar por entre os canos sem colidir. O jogo possui um sistema de pontuação e um sistema de colisão.","jogo","[""https://github.com/portfolio-projetos-dev/flappy-bird/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/flappy-bird/raw/main/.gitassets/2.jpg"",""https://github.com/portfolio-projetos-dev/flappy-bird/raw/main/.gitassets/3.jpg""]",2,https://github.com/portfolio-projetos-dev/flappy-bird,false
15b9f95a-2c28-442b-9ed3-55e3b7abb435,Jogo da Velha,"Jogo da Velha é um jogo clássico desenvolvido com HTML, CSS e JavaScript. O objetivo é formar uma linha com três símbolos iguais. O jogo possui um sistema de pontuação e um sistema de vitória.","jogo","[""https://github.com/portfolio-projetos-dev/jogo-da-velha/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/jogo-da-velha/raw/main/.gitassets/2.jpg""]",2,https://github.com/portfolio-projetos-dev/jogo-da-velha,false
32dfa142-bce9-42c1-8953-cdf8df50b97b,Quiz,"Quiz é uma aplicação de perguntas e respostas desenvolvida com React e ChatGPT. O objetivo é responder corretamente o maior número de perguntas possível.","web","[""https://github.com/portfolio-projetos-dev/quiz/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/quiz/raw/main/.gitassets/2.jpg""]",2,https://github.com/portfolio-projetos-dev/quiz,false
